data,denominazione_regione,totale_ospedalizzati
2020-03-08T18:00:00,Abruzzo,14
2020-03-08T18:00:00,Basilicata,2
2020-03-08T18:00:00,P.A. Bolzano,8
2020-03-08T18:00:00,Calabria,5
2020-03-08T18:00:00,Campania,37
2020-03-08T18:00:00,Emilia-Romagna,617
2020-03-08T18:00:00,Friuli Venezia Giulia,8
2020-03-08T18:00:00,Lazio,55
2020-03-08T18:00:00,Liguria,50
2020-03-08T18:00:00,Lombardia,2616
2020-03-08T18:00:00,Marche,151
2020-03-08T18:00:00,Molise,6
2020-03-08T18:00:00,Piemonte,290
2020-03-08T18:00:00,Puglia,20
2020-03-08T18:00:00,Sardegna,5
2020-03-08T18:00:00,Sicilia,18
2020-03-08T18:00:00,Toscana,98
2020-03-08T18:00:00,P.A. Trento,9
2020-03-08T18:00:00,Umbria,4
2020-03-08T18:00:00,Valle d'Aosta,1
2020-03-08T18:00:00,Veneto,193
