data,denominazione_regione,totale_ospedalizzati
2020-04-07T17:00:00,Abruzzo,404
2020-04-07T17:00:00,Basilicata,64
2020-04-07T17:00:00,P.A. Bolzano,389
2020-04-07T17:00:00,Calabria,183
2020-04-07T17:00:00,Campania,706
2020-04-07T17:00:00,Emilia-Romagna,4116
2020-04-07T17:00:00,Friuli Venezia Giulia,229
2020-04-07T17:00:00,Lazio,1421
2020-04-07T17:00:00,Liguria,1246
2020-04-07T17:00:00,Lombardia,13138
2020-04-07T17:00:00,Marche,1101
2020-04-07T17:00:00,Molise,40
2020-04-07T17:00:00,Piemonte,3985
2020-04-07T17:00:00,Puglia,708
2020-04-07T17:00:00,Sardegna,148
2020-04-07T17:00:00,Sicilia,635
2020-04-07T17:00:00,Toscana,1350
2020-04-07T17:00:00,P.A. Trento,438
2020-04-07T17:00:00,Umbria,198
2020-04-07T17:00:00,Valle d'Aosta,135
2020-04-07T17:00:00,Veneto,1876
