data,denominazione_regione,totale_ospedalizzati
2020-03-17T17:00:00,Abruzzo,126
2020-03-17T17:00:00,Basilicata,7
2020-03-17T17:00:00,P.A. Bolzano,82
2020-03-17T17:00:00,Calabria,55
2020-03-17T17:00:00,Campania,151
2020-03-17T17:00:00,Emilia-Romagna,1789
2020-03-17T17:00:00,Friuli Venezia Giulia,125
2020-03-17T17:00:00,Lazio,358
2020-03-17T17:00:00,Liguria,384
2020-03-17T17:00:00,Lombardia,7832
2020-03-17T17:00:00,Marche,708
2020-03-17T17:00:00,Molise,12
2020-03-17T17:00:00,Piemonte,1584
2020-03-17T17:00:00,Puglia,169
2020-03-17T17:00:00,Sardegna,40
2020-03-17T17:00:00,Sicilia,114
2020-03-17T17:00:00,Toscana,472
2020-03-17T17:00:00,P.A. Trento,129
2020-03-17T17:00:00,Umbria,57
2020-03-17T17:00:00,Valle d'Aosta,41
2020-03-17T17:00:00,Veneto,719
