data,denominazione_regione,totale_ospedalizzati
2020-04-02T17:00:00,Abruzzo,416
2020-04-02T17:00:00,Basilicata,57
2020-04-02T17:00:00,P.A. Bolzano,339
2020-04-02T17:00:00,Calabria,182
2020-04-02T17:00:00,Campania,623
2020-04-02T17:00:00,Emilia-Romagna,4310
2020-04-02T17:00:00,Friuli Venezia Giulia,259
2020-04-02T17:00:00,Lazio,1350
2020-04-02T17:00:00,Liguria,1292
2020-04-02T17:00:00,Lombardia,13113
2020-04-02T17:00:00,Marche,1150
2020-04-02T17:00:00,Molise,38
2020-04-02T17:00:00,Piemonte,3794
2020-04-02T17:00:00,Puglia,763
2020-04-02T17:00:00,Sardegna,141
2020-04-02T17:00:00,Sicilia,576
2020-04-02T17:00:00,Toscana,1430
2020-04-02T17:00:00,P.A. Trento,417
2020-04-02T17:00:00,Umbria,218
2020-04-02T17:00:00,Valle d'Aosta,110
2020-04-02T17:00:00,Veneto,2015
