data,denominazione_regione,totale_ospedalizzati
2020-03-31T17:00:00,Abruzzo,408
2020-03-31T17:00:00,Basilicata,54
2020-03-31T17:00:00,P.A. Bolzano,311
2020-03-31T17:00:00,Calabria,149
2020-03-31T17:00:00,Campania,634
2020-03-31T17:00:00,Emilia-Romagna,4118
2020-03-31T17:00:00,Friuli Venezia Giulia,275
2020-03-31T17:00:00,Lazio,1300
2020-03-31T17:00:00,Liguria,1332
2020-03-31T17:00:00,Lombardia,13207
2020-03-31T17:00:00,Marche,1115
2020-03-31T17:00:00,Molise,37
2020-03-31T17:00:00,Piemonte,3626
2020-03-31T17:00:00,Puglia,714
2020-03-31T17:00:00,Sardegna,141
2020-03-31T17:00:00,Sicilia,575
2020-03-31T17:00:00,Toscana,1413
2020-03-31T17:00:00,P.A. Trento,434
2020-03-31T17:00:00,Umbria,219
2020-03-31T17:00:00,Valle d'Aosta,117
2020-03-31T17:00:00,Veneto,2036
