data,denominazione_regione,totale_ospedalizzati
2020-03-07T18:00:00,Abruzzo,11
2020-03-07T18:00:00,Basilicata,1
2020-03-07T18:00:00,P.A. Bolzano,8
2020-03-07T18:00:00,Calabria,2
2020-03-07T18:00:00,Campania,16
2020-03-07T18:00:00,Emilia-Romagna,528
2020-03-07T18:00:00,Friuli Venezia Giulia,8
2020-03-07T18:00:00,Lazio,51
2020-03-07T18:00:00,Liguria,32
2020-03-07T18:00:00,Lombardia,2020
2020-03-07T18:00:00,Marche,130
2020-03-07T18:00:00,Molise,5
2020-03-07T18:00:00,Piemonte,148
2020-03-07T18:00:00,Puglia,11
2020-03-07T18:00:00,Sardegna,2
2020-03-07T18:00:00,Sicilia,8
2020-03-07T18:00:00,Toscana,61
2020-03-07T18:00:00,P.A. Trento,7
2020-03-07T18:00:00,Umbria,4
2020-03-07T18:00:00,Valle d'Aosta,1
2020-03-07T18:00:00,Veneto,164
