data,denominazione_regione,totale_ospedalizzati
2020-03-29T17:00:00,Abruzzo,397
2020-03-29T17:00:00,Basilicata,50
2020-03-29T17:00:00,P.A. Bolzano,290
2020-03-29T17:00:00,Calabria,143
2020-03-29T17:00:00,Campania,611
2020-03-29T17:00:00,Emilia-Romagna,4102
2020-03-29T17:00:00,Friuli Venezia Giulia,296
2020-03-29T17:00:00,Lazio,1195
2020-03-29T17:00:00,Liguria,1243
2020-03-29T17:00:00,Lombardia,12941
2020-03-29T17:00:00,Marche,1168
2020-03-29T17:00:00,Molise,34
2020-03-29T17:00:00,Piemonte,3428
2020-03-29T17:00:00,Puglia,658
2020-03-29T17:00:00,Sardegna,128
2020-03-29T17:00:00,Sicilia,522
2020-03-29T17:00:00,Toscana,1386
2020-03-29T17:00:00,P.A. Trento,431
2020-03-29T17:00:00,Umbria,212
2020-03-29T17:00:00,Valle d'Aosta,116
2020-03-29T17:00:00,Veneto,1941
