data,denominazione_regione,totale_ospedalizzati
2020-02-27T18:00:00,Abruzzo,1
2020-02-27T18:00:00,Basilicata,0
2020-02-27T18:00:00,P.A. Bolzano,1
2020-02-27T18:00:00,Calabria,0
2020-02-27T18:00:00,Campania,2
2020-02-27T18:00:00,Emilia-Romagna,42
2020-02-27T18:00:00,Friuli Venezia Giulia,0
2020-02-27T18:00:00,Lazio,0
2020-02-27T18:00:00,Liguria,9
2020-02-27T18:00:00,Lombardia,213
2020-02-27T18:00:00,Marche,3
2020-02-27T18:00:00,Molise,0
2020-02-27T18:00:00,Piemonte,2
2020-02-27T18:00:00,Puglia,1
2020-02-27T18:00:00,Sardegna,0
2020-02-27T18:00:00,Sicilia,1
2020-02-27T18:00:00,Toscana,2
2020-02-27T18:00:00,P.A. Trento,0
2020-02-27T18:00:00,Umbria,0
2020-02-27T18:00:00,Valle d'Aosta,0
2020-02-27T18:00:00,Veneto,27
