data,denominazione_regione,totale_ospedalizzati
2020-04-04T17:00:00,Abruzzo,425
2020-04-04T17:00:00,Basilicata,63
2020-04-04T17:00:00,P.A. Bolzano,352
2020-04-04T17:00:00,Calabria,193
2020-04-04T17:00:00,Campania,681
2020-04-04T17:00:00,Emilia-Romagna,4217
2020-04-04T17:00:00,Friuli Venezia Giulia,233
2020-04-04T17:00:00,Lazio,1429
2020-04-04T17:00:00,Liguria,1290
2020-04-04T17:00:00,Lombardia,13328
2020-04-04T17:00:00,Marche,1150
2020-04-04T17:00:00,Molise,37
2020-04-04T17:00:00,Piemonte,3891
2020-04-04T17:00:00,Puglia,780
2020-04-04T17:00:00,Sardegna,147
2020-04-04T17:00:00,Sicilia,627
2020-04-04T17:00:00,Toscana,1415
2020-04-04T17:00:00,P.A. Trento,434
2020-04-04T17:00:00,Umbria,211
2020-04-04T17:00:00,Valle d'Aosta,86
2020-04-04T17:00:00,Veneto,2015
