data,denominazione_regione,totale_ospedalizzati
2020-03-06T17:00:00,Abruzzo,9
2020-03-06T17:00:00,Basilicata,1
2020-03-06T17:00:00,P.A. Bolzano,4
2020-03-06T17:00:00,Calabria,2
2020-03-06T17:00:00,Campania,12
2020-03-06T17:00:00,Emilia-Romagna,450
2020-03-06T17:00:00,Friuli Venezia Giulia,4
2020-03-06T17:00:00,Lazio,34
2020-03-06T17:00:00,Liguria,17
2020-03-06T17:00:00,Lombardia,1931
2020-03-06T17:00:00,Marche,93
2020-03-06T17:00:00,Molise,5
2020-03-06T17:00:00,Piemonte,87
2020-03-06T17:00:00,Puglia,6
2020-03-06T17:00:00,Sardegna,2
2020-03-06T17:00:00,Sicilia,7
2020-03-06T17:00:00,Toscana,40
2020-03-06T17:00:00,P.A. Trento,4
2020-03-06T17:00:00,Umbria,4
2020-03-06T17:00:00,Valle d'Aosta,0
2020-03-06T17:00:00,Veneto,144
