data,denominazione_regione,totale_ospedalizzati
2020-03-13T17:00:00,Abruzzo,56
2020-03-13T17:00:00,Basilicata,2
2020-03-13T17:00:00,P.A. Bolzano,25
2020-03-13T17:00:00,Calabria,21
2020-03-13T17:00:00,Campania,79
2020-03-13T17:00:00,Emilia-Romagna,1070
2020-03-13T17:00:00,Friuli Venezia Giulia,67
2020-03-13T17:00:00,Lazio,146
2020-03-13T17:00:00,Liguria,172
2020-03-13T17:00:00,Lombardia,5085
2020-03-13T17:00:00,Marche,422
2020-03-13T17:00:00,Molise,8
2020-03-13T17:00:00,Piemonte,691
2020-03-13T17:00:00,Puglia,79
2020-03-13T17:00:00,Sardegna,12
2020-03-13T17:00:00,Sicilia,44
2020-03-13T17:00:00,Toscana,211
2020-03-13T17:00:00,P.A. Trento,64
2020-03-13T17:00:00,Umbria,21
2020-03-13T17:00:00,Valle d'Aosta,6
2020-03-13T17:00:00,Veneto,473
