data,denominazione_regione,totale_ospedalizzati
2020-04-05T17:00:00,Abruzzo,414
2020-04-05T17:00:00,Basilicata,64
2020-04-05T17:00:00,P.A. Bolzano,292
2020-04-05T17:00:00,Calabria,187
2020-04-05T17:00:00,Campania,717
2020-04-05T17:00:00,Emilia-Romagna,4214
2020-04-05T17:00:00,Friuli Venezia Giulia,235
2020-04-05T17:00:00,Lazio,1432
2020-04-05T17:00:00,Liguria,1291
2020-04-05T17:00:00,Lombardia,13326
2020-04-05T17:00:00,Marche,1138
2020-04-05T17:00:00,Molise,39
2020-04-05T17:00:00,Piemonte,3916
2020-04-05T17:00:00,Puglia,733
2020-04-05T17:00:00,Sardegna,151
2020-04-05T17:00:00,Sicilia,632
2020-04-05T17:00:00,Toscana,1387
2020-04-05T17:00:00,P.A. Trento,432
2020-04-05T17:00:00,Umbria,204
2020-04-05T17:00:00,Valle d'Aosta,119
2020-04-05T17:00:00,Veneto,2003
