data,denominazione_regione,totale_ospedalizzati
2020-03-18T17:00:00,Abruzzo,140
2020-03-18T17:00:00,Basilicata,11
2020-03-18T17:00:00,P.A. Bolzano,97
2020-03-18T17:00:00,Calabria,56
2020-03-18T17:00:00,Campania,151
2020-03-18T17:00:00,Emilia-Romagna,2031
2020-03-18T17:00:00,Friuli Venezia Giulia,155
2020-03-18T17:00:00,Lazio,418
2020-03-18T17:00:00,Liguria,501
2020-03-18T17:00:00,Lombardia,8209
2020-03-18T17:00:00,Marche,757
2020-03-18T17:00:00,Molise,13
2020-03-18T17:00:00,Piemonte,2007
2020-03-18T17:00:00,Puglia,186
2020-03-18T17:00:00,Sardegna,49
2020-03-18T17:00:00,Sicilia,129
2020-03-18T17:00:00,Toscana,587
2020-03-18T17:00:00,P.A. Trento,163
2020-03-18T17:00:00,Umbria,75
2020-03-18T17:00:00,Valle d'Aosta,44
2020-03-18T17:00:00,Veneto,841
