data,denominazione_regione,totale_ospedalizzati
2020-04-11T17:00:00,Abruzzo,369
2020-04-11T17:00:00,Basilicata,72
2020-04-11T17:00:00,P.A. Bolzano,302
2020-04-11T17:00:00,Calabria,184
2020-04-11T17:00:00,Campania,667
2020-04-11T17:00:00,Emilia-Romagna,3871
2020-04-11T17:00:00,Friuli Venezia Giulia,200
2020-04-11T17:00:00,Lazio,1467
2020-04-11T17:00:00,Liguria,1149
2020-04-11T17:00:00,Lombardia,13200
2020-04-11T17:00:00,Marche,1078
2020-04-11T17:00:00,Molise,32
2020-04-11T17:00:00,Piemonte,3819
2020-04-11T17:00:00,Puglia,700
2020-04-11T17:00:00,Sardegna,137
2020-04-11T17:00:00,Sicilia,620
2020-04-11T17:00:00,Toscana,1234
2020-04-11T17:00:00,P.A. Trento,397
2020-04-11T17:00:00,Umbria,176
2020-04-11T17:00:00,Valle d'Aosta,135
2020-04-11T17:00:00,Veneto,1716
