data,denominazione_regione,totale_ospedalizzati
2020-03-27T17:00:00,Abruzzo,360
2020-03-27T17:00:00,Basilicata,37
2020-03-27T17:00:00,P.A. Bolzano,294
2020-03-27T17:00:00,Calabria,125
2020-03-27T17:00:00,Campania,569
2020-03-27T17:00:00,Emilia-Romagna,3769
2020-03-27T17:00:00,Friuli Venezia Giulia,279
2020-03-27T17:00:00,Lazio,1118
2020-03-27T17:00:00,Liguria,1180
2020-03-27T17:00:00,Lombardia,12429
2020-03-27T17:00:00,Marche,1141
2020-03-27T17:00:00,Molise,35
2020-03-27T17:00:00,Piemonte,3283
2020-03-27T17:00:00,Puglia,612
2020-03-27T17:00:00,Sardegna,112
2020-03-27T17:00:00,Sicilia,500
2020-03-27T17:00:00,Toscana,1327
2020-03-27T17:00:00,P.A. Trento,407
2020-03-27T17:00:00,Umbria,195
2020-03-27T17:00:00,Valle d'Aosta,115
2020-03-27T17:00:00,Veneto,1874
