data,denominazione_regione,totale_ospedalizzati
2020-04-03T17:00:00,Abruzzo,437
2020-04-03T17:00:00,Basilicata,60
2020-04-03T17:00:00,P.A. Bolzano,351
2020-04-03T17:00:00,Calabria,200
2020-04-03T17:00:00,Campania,647
2020-04-03T17:00:00,Emilia-Romagna,4279
2020-04-03T17:00:00,Friuli Venezia Giulia,262
2020-04-03T17:00:00,Lazio,1382
2020-04-03T17:00:00,Liguria,1320
2020-04-03T17:00:00,Lombardia,13183
2020-04-03T17:00:00,Marche,1140
2020-04-03T17:00:00,Molise,39
2020-04-03T17:00:00,Piemonte,3752
2020-04-03T17:00:00,Puglia,771
2020-04-03T17:00:00,Sardegna,146
2020-04-03T17:00:00,Sicilia,608
2020-04-03T17:00:00,Toscana,1437
2020-04-03T17:00:00,P.A. Trento,423
2020-04-03T17:00:00,Umbria,213
2020-04-03T17:00:00,Valle d'Aosta,110
2020-04-03T17:00:00,Veneto,2049
