data,denominazione_regione,totale_ospedalizzati
2020-03-21T17:00:00,Abruzzo,229
2020-03-21T17:00:00,Basilicata,19
2020-03-21T17:00:00,P.A. Bolzano,157
2020-03-21T17:00:00,Calabria,89
2020-03-21T17:00:00,Campania,320
2020-03-21T17:00:00,Emilia-Romagna,2532
2020-03-21T17:00:00,Friuli Venezia Giulia,189
2020-03-21T17:00:00,Lazio,661
2020-03-21T17:00:00,Liguria,727
2020-03-21T17:00:00,Lombardia,9351
2020-03-21T17:00:00,Marche,883
2020-03-21T17:00:00,Molise,27
2020-03-21T17:00:00,Piemonte,2277
2020-03-21T17:00:00,Puglia,242
2020-03-21T17:00:00,Sardegna,81
2020-03-21T17:00:00,Sicilia,254
2020-03-21T17:00:00,Toscana,866
2020-03-21T17:00:00,P.A. Trento,272
2020-03-21T17:00:00,Umbria,121
2020-03-21T17:00:00,Valle d'Aosta,77
2020-03-21T17:00:00,Veneto,1191
