data,denominazione_regione,totale_ospedalizzati
2020-03-11T17:00:00,Abruzzo,26
2020-03-11T17:00:00,Basilicata,2
2020-03-11T17:00:00,P.A. Bolzano,12
2020-03-11T17:00:00,Calabria,12
2020-03-11T17:00:00,Campania,67
2020-03-11T17:00:00,Emilia-Romagna,849
2020-03-11T17:00:00,Friuli Venezia Giulia,21
2020-03-11T17:00:00,Lazio,85
2020-03-11T17:00:00,Liguria,108
2020-03-11T17:00:00,Lombardia,4412
2020-03-11T17:00:00,Marche,278
2020-03-11T17:00:00,Molise,7
2020-03-11T17:00:00,Piemonte,394
2020-03-11T17:00:00,Puglia,42
2020-03-11T17:00:00,Sardegna,10
2020-03-11T17:00:00,Sicilia,24
2020-03-11T17:00:00,Toscana,141
2020-03-11T17:00:00,P.A. Trento,32
2020-03-11T17:00:00,Umbria,12
2020-03-11T17:00:00,Valle d'Aosta,2
2020-03-11T17:00:00,Veneto,330
