data,denominazione_regione,totale_ospedalizzati
2020-04-09T17:00:00,Abruzzo,363
2020-04-09T17:00:00,Basilicata,67
2020-04-09T17:00:00,P.A. Bolzano,327
2020-04-09T17:00:00,Calabria,183
2020-04-09T17:00:00,Campania,698
2020-04-09T17:00:00,Emilia-Romagna,4077
2020-04-09T17:00:00,Friuli Venezia Giulia,204
2020-04-09T17:00:00,Lazio,1442
2020-04-09T17:00:00,Liguria,1257
2020-04-09T17:00:00,Lombardia,13032
2020-04-09T17:00:00,Marche,1078
2020-04-09T17:00:00,Molise,34
2020-04-09T17:00:00,Piemonte,3926
2020-04-09T17:00:00,Puglia,716
2020-04-09T17:00:00,Sardegna,131
2020-04-09T17:00:00,Sicilia,629
2020-04-09T17:00:00,Toscana,1294
2020-04-09T17:00:00,P.A. Trento,414
2020-04-09T17:00:00,Umbria,192
2020-04-09T17:00:00,Valle d'Aosta,136
2020-04-09T17:00:00,Veneto,1804
