data,denominazione_regione,totale_ospedalizzati
2020-04-01T17:00:00,Abruzzo,413
2020-04-01T17:00:00,Basilicata,54
2020-04-01T17:00:00,P.A. Bolzano,326
2020-04-01T17:00:00,Calabria,160
2020-04-01T17:00:00,Campania,607
2020-04-01T17:00:00,Emilia-Romagna,4257
2020-04-01T17:00:00,Friuli Venezia Giulia,266
2020-04-01T17:00:00,Lazio,1308
2020-04-01T17:00:00,Liguria,1293
2020-04-01T17:00:00,Lombardia,13269
2020-04-01T17:00:00,Marche,1152
2020-04-01T17:00:00,Molise,40
2020-04-01T17:00:00,Piemonte,3599
2020-04-01T17:00:00,Puglia,744
2020-04-01T17:00:00,Sardegna,146
2020-04-01T17:00:00,Sicilia,568
2020-04-01T17:00:00,Toscana,1417
2020-04-01T17:00:00,P.A. Trento,421
2020-04-01T17:00:00,Umbria,218
2020-04-01T17:00:00,Valle d'Aosta,112
2020-04-01T17:00:00,Veneto,2068
