data,denominazione_regione,totale_ospedalizzati
2020-03-16T17:00:00,Abruzzo,108
2020-03-16T17:00:00,Basilicata,3
2020-03-16T17:00:00,P.A. Bolzano,64
2020-03-16T17:00:00,Calabria,43
2020-03-16T17:00:00,Campania,125
2020-03-16T17:00:00,Emilia-Romagna,1559
2020-03-16T17:00:00,Friuli Venezia Giulia,115
2020-03-16T17:00:00,Lazio,298
2020-03-16T17:00:00,Liguria,328
2020-03-16T17:00:00,Lombardia,6994
2020-03-16T17:00:00,Marche,638
2020-03-16T17:00:00,Molise,8
2020-03-16T17:00:00,Piemonte,1231
2020-03-16T17:00:00,Puglia,122
2020-03-16T17:00:00,Sardegna,39
2020-03-16T17:00:00,Sicilia,95
2020-03-16T17:00:00,Toscana,282
2020-03-16T17:00:00,P.A. Trento,92
2020-03-16T17:00:00,Umbria,45
2020-03-16T17:00:00,Valle d'Aosta,33
2020-03-16T17:00:00,Veneto,654
