data,denominazione_regione,totale_ospedalizzati
2020-04-10T17:00:00,Abruzzo,358
2020-04-10T17:00:00,Basilicata,74
2020-04-10T17:00:00,P.A. Bolzano,316
2020-04-10T17:00:00,Calabria,182
2020-04-10T17:00:00,Campania,690
2020-04-10T17:00:00,Emilia-Romagna,3945
2020-04-10T17:00:00,Friuli Venezia Giulia,200
2020-04-10T17:00:00,Lazio,1437
2020-04-10T17:00:00,Liguria,1227
2020-04-10T17:00:00,Lombardia,13079
2020-04-10T17:00:00,Marche,1052
2020-04-10T17:00:00,Molise,32
2020-04-10T17:00:00,Piemonte,3891
2020-04-10T17:00:00,Puglia,711
2020-04-10T17:00:00,Sardegna,133
2020-04-10T17:00:00,Sicilia,630
2020-04-10T17:00:00,Toscana,1267
2020-04-10T17:00:00,P.A. Trento,405
2020-04-10T17:00:00,Umbria,185
2020-04-10T17:00:00,Valle d'Aosta,147
2020-04-10T17:00:00,Veneto,1778
