data,denominazione_regione,totale_ospedalizzati
2020-03-14T17:00:00,Abruzzo,65
2020-03-14T17:00:00,Basilicata,2
2020-03-14T17:00:00,P.A. Bolzano,33
2020-03-14T17:00:00,Calabria,26
2020-03-14T17:00:00,Campania,89
2020-03-14T17:00:00,Emilia-Romagna,1228
2020-03-14T17:00:00,Friuli Venezia Giulia,78
2020-03-14T17:00:00,Lazio,206
2020-03-14T17:00:00,Liguria,275
2020-03-14T17:00:00,Lombardia,5630
2020-03-14T17:00:00,Marche,542
2020-03-14T17:00:00,Molise,8
2020-03-14T17:00:00,Piemonte,688
2020-03-14T17:00:00,Puglia,97
2020-03-14T17:00:00,Sardegna,14
2020-03-14T17:00:00,Sicilia,53
2020-03-14T17:00:00,Toscana,247
2020-03-14T17:00:00,P.A. Trento,80
2020-03-14T17:00:00,Umbria,32
2020-03-14T17:00:00,Valle d'Aosta,12
2020-03-14T17:00:00,Veneto,485
