data,denominazione_regione,totale_ospedalizzati
2020-03-22T17:00:00,Abruzzo,267
2020-03-22T17:00:00,Basilicata,23
2020-03-22T17:00:00,P.A. Bolzano,178
2020-03-22T17:00:00,Calabria,94
2020-03-22T17:00:00,Campania,342
2020-03-22T17:00:00,Emilia-Romagna,2698
2020-03-22T17:00:00,Friuli Venezia Giulia,210
2020-03-22T17:00:00,Lazio,750
2020-03-22T17:00:00,Liguria,868
2020-03-22T17:00:00,Lombardia,10581
2020-03-22T17:00:00,Marche,954
2020-03-22T17:00:00,Molise,31
2020-03-22T17:00:00,Piemonte,2426
2020-03-22T17:00:00,Puglia,289
2020-03-22T17:00:00,Sardegna,83
2020-03-22T17:00:00,Sicilia,275
2020-03-22T17:00:00,Toscana,921
2020-03-22T17:00:00,P.A. Trento,281
2020-03-22T17:00:00,Umbria,132
2020-03-22T17:00:00,Valle d'Aosta,84
2020-03-22T17:00:00,Veneto,1368
