data,denominazione_regione,totale_ospedalizzati
2020-03-12T17:00:00,Abruzzo,59
2020-03-12T17:00:00,Basilicata,2
2020-03-12T17:00:00,P.A. Bolzano,25
2020-03-12T17:00:00,Calabria,16
2020-03-12T17:00:00,Campania,67
2020-03-12T17:00:00,Emilia-Romagna,926
2020-03-12T17:00:00,Friuli Venezia Giulia,33
2020-03-12T17:00:00,Lazio,105
2020-03-12T17:00:00,Liguria,136
2020-03-12T17:00:00,Lombardia,4852
2020-03-12T17:00:00,Marche,330
2020-03-12T17:00:00,Molise,7
2020-03-12T17:00:00,Piemonte,465
2020-03-12T17:00:00,Puglia,60
2020-03-12T17:00:00,Sardegna,12
2020-03-12T17:00:00,Sicilia,33
2020-03-12T17:00:00,Toscana,159
2020-03-12T17:00:00,P.A. Trento,48
2020-03-12T17:00:00,Umbria,16
2020-03-12T17:00:00,Valle d'Aosta,7
2020-03-12T17:00:00,Veneto,445
