data,denominazione_regione,totale_ospedalizzati
2020-04-08T17:00:00,Abruzzo,393
2020-04-08T17:00:00,Basilicata,65
2020-04-08T17:00:00,P.A. Bolzano,333
2020-04-08T17:00:00,Calabria,185
2020-04-08T17:00:00,Campania,705
2020-04-08T17:00:00,Emilia-Romagna,4130
2020-04-08T17:00:00,Friuli Venezia Giulia,203
2020-04-08T17:00:00,Lazio,1437
2020-04-08T17:00:00,Liguria,1262
2020-04-08T17:00:00,Lombardia,12976
2020-04-08T17:00:00,Marche,1107
2020-04-08T17:00:00,Molise,34
2020-04-08T17:00:00,Piemonte,3916
2020-04-08T17:00:00,Puglia,729
2020-04-08T17:00:00,Sardegna,143
2020-04-08T17:00:00,Sicilia,628
2020-04-08T17:00:00,Toscana,1326
2020-04-08T17:00:00,P.A. Trento,431
2020-04-08T17:00:00,Umbria,196
2020-04-08T17:00:00,Valle d'Aosta,140
2020-04-08T17:00:00,Veneto,1839
