data,denominazione_regione,totale_ospedalizzati
2020-04-12T17:00:00,Abruzzo,400
2020-04-12T17:00:00,Basilicata,73
2020-04-12T17:00:00,P.A. Bolzano,228
2020-04-12T17:00:00,Calabria,179
2020-04-12T17:00:00,Campania,608
2020-04-12T17:00:00,Emilia-Romagna,3826
2020-04-12T17:00:00,Friuli Venezia Giulia,188
2020-04-12T17:00:00,Lazio,1469
2020-04-12T17:00:00,Liguria,1176
2020-04-12T17:00:00,Lombardia,13145
2020-04-12T17:00:00,Marche,1063
2020-04-12T17:00:00,Molise,31
2020-04-12T17:00:00,Piemonte,3810
2020-04-12T17:00:00,Puglia,680
2020-04-12T17:00:00,Sardegna,135
2020-04-12T17:00:00,Sicilia,605
2020-04-12T17:00:00,Toscana,1221
2020-04-12T17:00:00,P.A. Trento,383
2020-04-12T17:00:00,Umbria,168
2020-04-12T17:00:00,Valle d'Aosta,125
2020-04-12T17:00:00,Veneto,1677
