data,denominazione_regione,totale_ospedalizzati
2020-03-30T17:00:00,Abruzzo,391
2020-03-30T17:00:00,Basilicata,54
2020-03-30T17:00:00,P.A. Bolzano,293
2020-03-30T17:00:00,Calabria,148
2020-03-30T17:00:00,Campania,594
2020-03-30T17:00:00,Emilia-Romagna,4130
2020-03-30T17:00:00,Friuli Venezia Giulia,289
2020-03-30T17:00:00,Lazio,1233
2020-03-30T17:00:00,Liguria,1317
2020-03-30T17:00:00,Lombardia,13145
2020-03-30T17:00:00,Marche,1165
2020-03-30T17:00:00,Molise,35
2020-03-30T17:00:00,Piemonte,3437
2020-03-30T17:00:00,Puglia,696
2020-03-30T17:00:00,Sardegna,137
2020-03-30T17:00:00,Sicilia,559
2020-03-30T17:00:00,Toscana,1395
2020-03-30T17:00:00,P.A. Trento,431
2020-03-30T17:00:00,Umbria,220
2020-03-30T17:00:00,Valle d'Aosta,118
2020-03-30T17:00:00,Veneto,1989
