data,denominazione_regione,totale_ospedalizzati
2020-03-19T17:00:00,Abruzzo,228
2020-03-19T17:00:00,Basilicata,13
2020-03-19T17:00:00,P.A. Bolzano,105
2020-03-19T17:00:00,Calabria,73
2020-03-19T17:00:00,Campania,249
2020-03-19T17:00:00,Emilia-Romagna,2160
2020-03-19T17:00:00,Friuli Venezia Giulia,163
2020-03-19T17:00:00,Lazio,471
2020-03-19T17:00:00,Liguria,603
2020-03-19T17:00:00,Lombardia,8393
2020-03-19T17:00:00,Marche,797
2020-03-19T17:00:00,Molise,25
2020-03-19T17:00:00,Piemonte,2536
2020-03-19T17:00:00,Puglia,204
2020-03-19T17:00:00,Sardegna,52
2020-03-19T17:00:00,Sicilia,179
2020-03-19T17:00:00,Toscana,679
2020-03-19T17:00:00,P.A. Trento,199
2020-03-19T17:00:00,Umbria,90
2020-03-19T17:00:00,Valle d'Aosta,56
2020-03-19T17:00:00,Veneto,980
