data,denominazione_regione,totale_ospedalizzati
2020-03-26T17:00:00,Abruzzo,344
2020-03-26T17:00:00,Basilicata,38
2020-03-26T17:00:00,P.A. Bolzano,266
2020-03-26T17:00:00,Calabria,124
2020-03-26T17:00:00,Campania,562
2020-03-26T17:00:00,Emilia-Romagna,3655
2020-03-26T17:00:00,Friuli Venezia Giulia,266
2020-03-26T17:00:00,Lazio,991
2020-03-26T17:00:00,Liguria,1152
2020-03-26T17:00:00,Lombardia,11944
2020-03-26T17:00:00,Marche,1143
2020-03-26T17:00:00,Molise,35
2020-03-26T17:00:00,Piemonte,3041
2020-03-26T17:00:00,Puglia,556
2020-03-26T17:00:00,Sardegna,112
2020-03-26T17:00:00,Sicilia,414
2020-03-26T17:00:00,Toscana,1296
2020-03-26T17:00:00,P.A. Trento,366
2020-03-26T17:00:00,Umbria,190
2020-03-26T17:00:00,Valle d'Aosta,97
2020-03-26T17:00:00,Veneto,1773
