data,denominazione_regione,totale_ospedalizzati
2020-03-15T17:00:00,Abruzzo,100
2020-03-15T17:00:00,Basilicata,2
2020-03-15T17:00:00,P.A. Bolzano,54
2020-03-15T17:00:00,Calabria,38
2020-03-15T17:00:00,Campania,95
2020-03-15T17:00:00,Emilia-Romagna,1384
2020-03-15T17:00:00,Friuli Venezia Giulia,110
2020-03-15T17:00:00,Lazio,254
2020-03-15T17:00:00,Liguria,319
2020-03-15T17:00:00,Lombardia,6267
2020-03-15T17:00:00,Marche,619
2020-03-15T17:00:00,Molise,7
2020-03-15T17:00:00,Piemonte,897
2020-03-15T17:00:00,Puglia,122
2020-03-15T17:00:00,Sardegna,16
2020-03-15T17:00:00,Sicilia,71
2020-03-15T17:00:00,Toscana,282
2020-03-15T17:00:00,P.A. Trento,92
2020-03-15T17:00:00,Umbria,38
2020-03-15T17:00:00,Valle d'Aosta,13
2020-03-15T17:00:00,Veneto,555
