data,denominazione_regione,totale_ospedalizzati
2020-03-09T18:00:00,Abruzzo,25
2020-03-09T18:00:00,Basilicata,2
2020-03-09T18:00:00,P.A. Bolzano,8
2020-03-09T18:00:00,Calabria,8
2020-03-09T18:00:00,Campania,50
2020-03-09T18:00:00,Emilia-Romagna,666
2020-03-09T18:00:00,Friuli Venezia Giulia,19
2020-03-09T18:00:00,Lazio,63
2020-03-09T18:00:00,Liguria,77
2020-03-09T18:00:00,Lombardia,3242
2020-03-09T18:00:00,Marche,183
2020-03-09T18:00:00,Molise,6
2020-03-09T18:00:00,Piemonte,272
2020-03-09T18:00:00,Puglia,26
2020-03-09T18:00:00,Sardegna,8
2020-03-09T18:00:00,Sicilia,19
2020-03-09T18:00:00,Toscana,116
2020-03-09T18:00:00,P.A. Trento,12
2020-03-09T18:00:00,Umbria,6
2020-03-09T18:00:00,Valle d'Aosta,4
2020-03-09T18:00:00,Veneto,237
