data,denominazione_regione,totale_ospedalizzati
2020-03-28T17:00:00,Abruzzo,381
2020-03-28T17:00:00,Basilicata,45
2020-03-28T17:00:00,P.A. Bolzano,276
2020-03-28T17:00:00,Calabria,129
2020-03-28T17:00:00,Campania,595
2020-03-28T17:00:00,Emilia-Romagna,4011
2020-03-28T17:00:00,Friuli Venezia Giulia,282
2020-03-28T17:00:00,Lazio,1118
2020-03-28T17:00:00,Liguria,1198
2020-03-28T17:00:00,Lombardia,12471
2020-03-28T17:00:00,Marche,1153
2020-03-28T17:00:00,Molise,35
2020-03-28T17:00:00,Piemonte,3533
2020-03-28T17:00:00,Puglia,661
2020-03-28T17:00:00,Sardegna,117
2020-03-28T17:00:00,Sicilia,512
2020-03-28T17:00:00,Toscana,1370
2020-03-28T17:00:00,P.A. Trento,423
2020-03-28T17:00:00,Umbria,203
2020-03-28T17:00:00,Valle d'Aosta,116
2020-03-28T17:00:00,Veneto,1903
